"Subject","Start Date","Start Time","End Date","End Time","All day","Calendar Name","Repeats","Repeats Until","Created By","Updated By","Creation Date","Last Update Date","Who","Location","Description"
"AZJNQ 16-17U","4/4/2020","12:00 am","4/5/2020","11:59 pm","1","16 Gold|16 Platinum|17 Gold|17 Platinum","","","Administrator","Administrator","10/28/2019 2:31 pm","1/3/2020 3:51 pm","","","AZ Region Website - AZ Qualifier Link:

<https://www.azregionvolleyball.org/page/show/3919053-az-region-national-club-qualifier>"
"Sports Performance Training","4/7/2020","3:20 pm","4/7/2020","3:50 pm","","17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","4/30/2020","Administrator","Administrator","10/25/2019 1:51 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/7/2020","4:00 pm","4/7/2020","6:00 pm","","15 Silver - Jerry|15 Silver - Natalie|17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:46 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/7/2020","4:30 pm","4/7/2020","6:00 pm","","12 Platinum|12 Silver|15 Blue","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:49 pm","11/25/2019 10:14 am","","",""
"Sports Performance Training","4/7/2020","4:50 pm","4/7/2020","5:20 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:52 pm","11/27/2019 6:38 am","","",""
"Sports Performance Training","4/7/2020","5:20 pm","4/7/2020","5:50 pm","","13 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:55 pm","12/31/2019 12:01 pm","","",""
"Team Practice","4/7/2020","5:30 pm","4/7/2020","7:30 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","","10/24/2019 2:49 pm","10/29/2019 2:24 pm","","",""
"Team Practice","4/7/2020","6:00 pm","4/7/2020","8:00 pm","","13 Platinum","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:50 pm","2/14/2020 2:47 pm","","",""
"Tutor Time","4/7/2020","6:00 pm","4/7/2020","6:30 pm","","18 Gold|18 Platinum","","","Administrator","Administrator","1/30/2020 8:27 pm","2/19/2020 12:29 pm","","","Middles &amp; Setters

Court 1

Lead: Kelsey"
"Team Practice","4/7/2020","6:00 pm","4/7/2020","7:30 pm","","12 Blue|12 Gold|13 Blue|14 Blue|14 Red|16 Blue","Weekly on Wednesday until May 6, 2020","5/6/2020","Administrator","","10/24/2019 2:51 pm","10/29/2019 2:19 pm","","",""
"Sports Performance Training","4/7/2020","6:20 pm","4/7/2020","6:50 pm","","15 Silver - Jerry|15 Silver - Natalie|16 Gold|16 Platinum|17 Gold","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:56 pm","1/30/2020 8:34 pm","","",""
"Sports Performance Training","4/7/2020","6:50 pm","4/7/2020","7:20 pm","","13 Gold|14 Gold|15 Gold|15 Platinum","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:57 pm","1/30/2020 8:34 pm","","",""
"Tutor Time","4/7/2020","7:30 pm","4/7/2020","8:00 pm","","14 Blue|14 Red|14 Yellow","","","Administrator","","1/30/2020 8:28 pm","","","","Serve &amp; Pass

Court 9

Lead Coach:"
"Team Practice","4/7/2020","7:30 pm","4/7/2020","9:30 pm","","13 Gold|14 Gold|15 Gold|15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:55 pm","11/25/2019 10:07 am","","",""
"Team Practice","4/7/2020","8:00 pm","4/7/2020","9:30 pm","","14 Yellow","Weekly on Wednesday until May 6, 2020","5/6/2020","Administrator","Administrator","10/24/2019 2:55 pm","2/14/2020 2:47 pm","","",""
"Sports Performance Training","4/9/2020","3:20 pm","4/9/2020","3:50 pm","","17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","4/30/2020","Administrator","Administrator","10/25/2019 1:51 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/9/2020","4:00 pm","4/9/2020","6:00 pm","","15 Silver - Jerry|15 Silver - Natalie|17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:46 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/9/2020","4:30 pm","4/9/2020","6:00 pm","","12 Platinum|12 Silver|15 Blue","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:49 pm","11/25/2019 10:14 am","","",""
"Sports Performance Training","4/9/2020","4:50 pm","4/9/2020","5:20 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:52 pm","11/27/2019 6:38 am","","",""
"Sports Performance Training","4/9/2020","5:20 pm","4/9/2020","5:50 pm","","13 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:55 pm","12/31/2019 12:01 pm","","",""
"Team Practice","4/9/2020","5:30 pm","4/9/2020","7:30 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","","10/24/2019 2:49 pm","10/29/2019 2:24 pm","","",""
"Team Practice","4/9/2020","6:00 pm","4/9/2020","8:00 pm","","13 Platinum|16 Blue","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","","11/30/2019 7:05 am","11/30/2019 3:23 pm","","",""
"Team Practice","4/9/2020","6:00 pm","4/9/2020","7:30 pm","","12 Blue|12 Gold|13 Blue|14 Blue|14 Red|14 Yellow","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:53 pm","11/30/2019 7:04 am","","",""
"Sports Performance Training","4/9/2020","6:20 pm","4/9/2020","6:50 pm","","13 Gold|14 Gold|15 Gold|15 Silver - Jerry|15 Silver - Natalie","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 2:00 pm","11/27/2019 6:44 am","","",""
"Sports Performance Training","4/9/2020","6:50 pm","4/9/2020","7:20 pm","","15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 2:01 pm","11/27/2019 6:45 am","","",""
"Team Practice","4/9/2020","7:30 pm","4/9/2020","9:30 pm","","13 Gold|14 Gold|15 Gold|15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:55 pm","11/25/2019 10:07 am","","",""
"Team Practice","4/10/2020","4:30 pm","4/10/2020","6:30 pm","","18 Platinum","","","Administrator","","11/30/2019 9:11 pm","","","",""
"Championship #6","4/11/2020","12:00 am","4/11/2020","11:59 pm","1","13 Platinum|14 Gold|14 Platinum|15 Silver - Jerry|15 Silver - Natalie","","","Administrator","Administrator","10/28/2019 2:31 pm","1/3/2020 11:11 am","","","AZ Region Championship Tournament Link:

<https://www.azregionvolleyball.org/page/show/3585115-championship-division>"
"Sports Performance Training","4/14/2020","3:20 pm","4/14/2020","3:50 pm","","17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","4/30/2020","Administrator","Administrator","10/25/2019 1:51 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/14/2020","4:00 pm","4/14/2020","6:00 pm","","15 Silver - Jerry|15 Silver - Natalie|17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:46 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/14/2020","4:30 pm","4/14/2020","6:00 pm","","12 Platinum|12 Silver|15 Blue","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:49 pm","11/25/2019 10:14 am","","",""
"Sports Performance Training","4/14/2020","4:50 pm","4/14/2020","5:20 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:52 pm","11/27/2019 6:38 am","","",""
"Team Fees Due","4/15/2020","12:00 am","4/15/2020","11:59 pm","1","15 Blue|15 Gold|15 Platinum|15 Silver - Jerry|15 Silver - Natalie|16 Blue|16 Gold|16 Platinum|17 Gold|17 Platinum|18 Gold|18 Platinum","Monthly until April 15, 2020","4/15/2020","Administrator","Administrator","11/28/2019 3:25 pm","11/29/2019 1:01 pm","","","Fees are due the **15th of the month**.

Please note that you need to initiate payment unless you have specifically asked Lisa (<lisa@cluboneaz.com>) to send you monthly invoices.

For more details on your options, see the **Player Fee Payment Instructions/Options**document located on the [Documents](http://www.cluboneaz.com/documents.html) page of our website.

Let's avoid the **$40 Late Fee** and submit your installment today!

Specific Team Monthly Fees are below:

15/16 Blue - $345

15 Silver - $565

15 Gold - $705

15/16 Platinum - $1,050

16/17 Gold - $975

17 Platinum - $1,065

18 Gold - $840

18 Platinum - $1,030"
"Sports Performance Training","4/14/2020","5:20 pm","4/14/2020","5:50 pm","","13 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:55 pm","12/31/2019 12:01 pm","","",""
"Team Practice","4/14/2020","5:30 pm","4/14/2020","7:30 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","","10/24/2019 2:49 pm","10/29/2019 2:24 pm","","",""
"Team Practice","4/14/2020","6:00 pm","4/14/2020","7:30 pm","","12 Blue|12 Gold|13 Blue|14 Blue|14 Red|16 Blue","Weekly on Wednesday until May 6, 2020","5/6/2020","Administrator","","10/24/2019 2:51 pm","10/29/2019 2:19 pm","","",""
"Tutor Time","4/14/2020","6:00 pm","4/14/2020","6:40 pm","","12 Platinum|12 Silver|13 Gold","","","Administrator","","1/30/2020 8:29 pm","","","","Attacking

Court 1"
"Team Practice","4/14/2020","6:00 pm","4/14/2020","8:00 pm","","13 Platinum","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:50 pm","2/14/2020 2:47 pm","","",""
"Sports Performance Training","4/14/2020","6:20 pm","4/14/2020","6:50 pm","","15 Silver - Jerry|15 Silver - Natalie|16 Gold|16 Platinum|17 Gold","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:56 pm","1/30/2020 8:34 pm","","",""
"LSC Session #3","4/14/2020","6:20 pm","4/14/2020","6:50 pm","","15 Platinum|Upstairs Conference Room","","","Administrator","","2/19/2020 12:14 pm","","","",""
"Sports Performance Training","4/14/2020","6:50 pm","4/14/2020","7:20 pm","","13 Gold|14 Gold|15 Gold|15 Platinum","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:57 pm","1/30/2020 8:34 pm","","",""
"Tutor Time","4/14/2020","6:50 pm","4/14/2020","7:20 pm","","16 Gold|16 Platinum|17 Gold","","","Administrator","Administrator","1/30/2020 8:29 pm","2/19/2020 12:22 pm","","","Blocking

Court 1

Lead: Kelsey"
"Team Practice","4/14/2020","7:30 pm","4/14/2020","9:30 pm","","13 Gold|14 Gold|15 Gold|15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:55 pm","11/25/2019 10:07 am","","",""
"Tutor Time","4/14/2020","7:30 pm","4/14/2020","8:00 pm","","12 Blue|12 Gold|13 Blue","","","Administrator","","1/30/2020 8:30 pm","","","","Attacking

Court 9

Lead Coach:"
"Team Practice","4/14/2020","8:00 pm","4/14/2020","9:30 pm","","14 Yellow","Weekly on Wednesday until May 6, 2020","5/6/2020","Administrator","Administrator","10/24/2019 2:55 pm","2/14/2020 2:47 pm","","",""
"Sports Performance Training","4/16/2020","3:20 pm","4/16/2020","3:50 pm","","17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","4/30/2020","Administrator","Administrator","10/25/2019 1:51 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/16/2020","4:00 pm","4/16/2020","6:00 pm","","15 Silver - Jerry|15 Silver - Natalie|17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:46 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/16/2020","4:30 pm","4/16/2020","6:00 pm","","12 Platinum|12 Silver|15 Blue","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:49 pm","11/25/2019 10:14 am","","",""
"Sports Performance Training","4/16/2020","4:50 pm","4/16/2020","5:20 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:52 pm","11/27/2019 6:38 am","","",""
"Sports Performance Training","4/16/2020","5:20 pm","4/16/2020","5:50 pm","","13 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:55 pm","12/31/2019 12:01 pm","","",""
"Team Practice","4/16/2020","5:30 pm","4/16/2020","7:30 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","","10/24/2019 2:49 pm","10/29/2019 2:24 pm","","",""
"Team Practice","4/16/2020","6:00 pm","4/16/2020","8:00 pm","","13 Platinum|16 Blue","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","","11/30/2019 7:05 am","11/30/2019 3:23 pm","","",""
"Team Practice","4/16/2020","6:00 pm","4/16/2020","7:30 pm","","12 Blue|12 Gold|13 Blue|14 Blue|14 Red|14 Yellow","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:53 pm","11/30/2019 7:04 am","","",""
"Sports Performance Training","4/16/2020","6:20 pm","4/16/2020","6:50 pm","","13 Gold|14 Gold|15 Gold|15 Silver - Jerry|15 Silver - Natalie","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 2:00 pm","11/27/2019 6:44 am","","",""
"Sports Performance Training","4/16/2020","6:50 pm","4/16/2020","7:20 pm","","15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 2:01 pm","11/27/2019 6:45 am","","",""
"Team Practice","4/16/2020","7:30 pm","4/16/2020","9:30 pm","","13 Gold|14 Gold|15 Gold|15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:55 pm","11/25/2019 10:07 am","","",""
"18's Regionals","4/18/2020","12:00 am","4/18/2020","11:59 pm","1","18 Gold|18 Platinum","","","Administrator","Administrator","10/28/2019 2:31 pm","1/3/2020 3:39 pm","","","AZ Region Website - Open Division Tournament Link:

<https://www.azregionvolleyball.org/page/show/3585114-open-division>"
"Club #6","4/18/2020","12:00 am","4/18/2020","11:59 pm","1","12 Blue|12 Gold|12 Platinum|12 Silver|13 Blue|13 Gold|14 Blue|14 Red|14 Yellow|15 Blue|16 Blue","","","Administrator","Administrator","10/28/2019 2:31 pm","1/3/2020 3:45 pm","","","AZ Region Website - Club Division Tournament Schedule Links (per age group) :

<https://www.azregionvolleyball.org/page/show/3585120-club-12-results>

<https://www.azregionvolleyball.org/page/show/3585119-club-14-results>

<https://www.azregionvolleyball.org/page/show/3585118-club-16-results>"
"LSC Session #4","4/17/2020","6:00 pm","4/17/2020","6:30 pm","","17 Gold|Upstairs Conference Room","","","Administrator","","2/19/2020 12:05 pm","","","",""
"Sports Performance Training","4/21/2020","3:20 pm","4/21/2020","3:50 pm","","17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","4/30/2020","Administrator","Administrator","10/25/2019 1:51 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/21/2020","4:00 pm","4/21/2020","6:00 pm","","15 Silver - Jerry|15 Silver - Natalie|17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:46 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/21/2020","4:30 pm","4/21/2020","6:00 pm","","12 Platinum|12 Silver|15 Blue","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:49 pm","11/25/2019 10:14 am","","",""
"Sports Performance Training","4/21/2020","4:50 pm","4/21/2020","5:20 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:52 pm","11/27/2019 6:38 am","","",""
"Sports Performance Training","4/21/2020","5:20 pm","4/21/2020","5:50 pm","","13 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:55 pm","12/31/2019 12:01 pm","","",""
"Team Practice","4/21/2020","5:30 pm","4/21/2020","7:30 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","","10/24/2019 2:49 pm","10/29/2019 2:24 pm","","",""
"Team Practice","4/21/2020","6:00 pm","4/21/2020","8:00 pm","","13 Platinum","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:50 pm","2/14/2020 2:47 pm","","",""
"Team Practice","4/21/2020","6:00 pm","4/21/2020","7:30 pm","","12 Blue|12 Gold|13 Blue|14 Blue|14 Red|16 Blue","Weekly on Wednesday until May 6, 2020","5/6/2020","Administrator","","10/24/2019 2:51 pm","10/29/2019 2:19 pm","","",""
"Tutor Time","4/21/2020","6:00 pm","4/21/2020","6:40 pm","","14 Gold|15 Gold|15 Platinum","","","Administrator","","1/30/2020 8:31 pm","","","","Pass to Attack

Court 1"
"Sports Performance Training","4/21/2020","6:20 pm","4/21/2020","6:50 pm","","15 Silver - Jerry|15 Silver - Natalie|16 Gold|16 Platinum|17 Gold","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:56 pm","1/30/2020 8:34 pm","","",""
"Sports Performance Training","4/21/2020","6:50 pm","4/21/2020","7:20 pm","","13 Gold|14 Gold|15 Gold|15 Platinum","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:57 pm","1/30/2020 8:34 pm","","",""
"Tutor Time","4/21/2020","7:30 pm","4/21/2020","8:00 pm","","14 Platinum|16 Blue","","","Administrator","Administrator","1/30/2020 8:32 pm","2/19/2020 12:21 pm","","","Setters &amp; Middles

Court 9

Lead Coach: Justin"
"Team Practice","4/21/2020","7:30 pm","4/21/2020","9:30 pm","","13 Gold|14 Gold|15 Gold|15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:55 pm","11/25/2019 10:07 am","","",""
"Team Practice","4/21/2020","8:00 pm","4/21/2020","9:30 pm","","14 Yellow","Weekly on Wednesday until May 6, 2020","5/6/2020","Administrator","Administrator","10/24/2019 2:55 pm","2/14/2020 2:47 pm","","",""
"Far Western NQ","4/23/2020","12:00 am","4/26/2020","11:59 pm","1","17 Gold|17 Platinum","","","Administrator","Administrator","10/28/2019 2:40 pm","1/3/2020 4:39 pm","","Reno Sparks Convention Center, Reno, NV","17Platinum and 17Gold

Tournament Website:

<https://ncva.com/girls/tournaments/far-western-national-qualifier/>

**Team Flight Information:**

**SOUTHWEST AIRLINES**

23 Apr PHX/RENO 805A/950P non stop

26 Apr Reno/San Diego 635P/805P (connecting)

26 Apr San Diego/PHX 850P/1005P

**Team Hotel:** TBA"
"Northern Lights NQ","4/23/2020","12:00 am","4/26/2020","11:59 pm","1","15 Platinum|16 Gold|16 Platinum","","","Administrator","Administrator","10/28/2019 2:39 pm","12/18/2019 12:28 pm","","Minneapolis, MN","Tournament Website: <https://www.northernlightsjuniors.org/events/northern-lights-qualifier/>

**Team Flight Info:**

American Airlines

23 Apr PHX/MSP 841A/153P

26 Apr MSP/PHX 550P/717P

**Team Hotel Info:**

DoubleTree Suites - 1101 LASALLE AVE, MINNEAPOLIS, MN

Hotel Website: <https://doubletree3.hilton.com/en/hotels/minnesota/doubletree-suites-by-hilton-hotel-minneapolis-MSPLSDT/index.html>"
"Sports Performance Training","4/23/2020","3:20 pm","4/23/2020","3:50 pm","","17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","4/30/2020","Administrator","Administrator","10/25/2019 1:51 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/23/2020","4:00 pm","4/23/2020","6:00 pm","","15 Silver - Jerry|15 Silver - Natalie|17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:46 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/23/2020","4:30 pm","4/23/2020","6:00 pm","","12 Platinum|12 Silver|15 Blue","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:49 pm","11/25/2019 10:14 am","","",""
"Sports Performance Training","4/23/2020","4:50 pm","4/23/2020","5:20 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:52 pm","11/27/2019 6:38 am","","",""
"Sports Performance Training","4/23/2020","5:20 pm","4/23/2020","5:50 pm","","13 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:55 pm","12/31/2019 12:01 pm","","",""
"Team Practice","4/23/2020","5:30 pm","4/23/2020","7:30 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","","10/24/2019 2:49 pm","10/29/2019 2:24 pm","","",""
"Team Practice","4/23/2020","6:00 pm","4/23/2020","8:00 pm","","13 Platinum|16 Blue","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","","11/30/2019 7:05 am","11/30/2019 3:23 pm","","",""
"Team Practice","4/23/2020","6:00 pm","4/23/2020","7:30 pm","","12 Blue|12 Gold|13 Blue|14 Blue|14 Red|14 Yellow","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:53 pm","11/30/2019 7:04 am","","",""
"Sports Performance Training","4/23/2020","6:20 pm","4/23/2020","6:50 pm","","13 Gold|14 Gold|15 Gold|15 Silver - Jerry|15 Silver - Natalie","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 2:00 pm","11/27/2019 6:44 am","","",""
"Sports Performance Training","4/23/2020","6:50 pm","4/23/2020","7:20 pm","","15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 2:01 pm","11/27/2019 6:45 am","","",""
"Team Practice","4/23/2020","7:30 pm","4/23/2020","9:30 pm","","13 Gold|14 Gold|15 Gold|15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:55 pm","11/25/2019 10:07 am","","",""
"Team Practice","4/24/2020","4:30 pm","4/24/2020","6:30 pm","","18 Platinum","","","Administrator","","11/30/2019 9:11 pm","","","",""
"15s-18s Club/Championship Regionals","4/25/2020","12:00 am","4/25/2020","11:59 pm","1","15 Blue|15 Silver - Jerry|15 Silver - Natalie|16 Blue","","","Administrator","Administrator","12/10/2019 8:16 pm","1/3/2020 11:11 am","","","AZ Region Championship Tournament Link:

<https://www.azregionvolleyball.org/page/show/3585115-championship-division>"
"Sports Performance Training","4/28/2020","3:20 pm","4/28/2020","3:50 pm","","17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","4/30/2020","Administrator","Administrator","10/25/2019 1:51 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/28/2020","4:00 pm","4/28/2020","6:00 pm","","15 Silver - Jerry|15 Silver - Natalie|17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:46 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/28/2020","4:30 pm","4/28/2020","6:00 pm","","12 Platinum|12 Silver|15 Blue","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:49 pm","11/25/2019 10:14 am","","",""
"Sports Performance Training","4/28/2020","4:50 pm","4/28/2020","5:20 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:52 pm","11/27/2019 6:38 am","","",""
"Sports Performance Training","4/28/2020","5:20 pm","4/28/2020","5:50 pm","","13 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:55 pm","12/31/2019 12:01 pm","","",""
"Team Practice","4/28/2020","5:30 pm","4/28/2020","7:30 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","","10/24/2019 2:49 pm","10/29/2019 2:24 pm","","",""
"Tutor Time","4/28/2020","6:00 pm","4/28/2020","6:30 pm","","18 Gold|18 Platinum","","","Administrator","Administrator","1/30/2020 8:32 pm","2/19/2020 12:21 pm","","","Serve &amp; Pass

Court 1

Lead Coach: Kelsey"
"Team Practice","4/28/2020","6:00 pm","4/28/2020","8:00 pm","","13 Platinum","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:50 pm","2/14/2020 2:47 pm","","",""
"Team Practice","4/28/2020","6:00 pm","4/28/2020","7:30 pm","","12 Blue|12 Gold|13 Blue|14 Blue|14 Red|16 Blue","Weekly on Wednesday until May 6, 2020","5/6/2020","Administrator","","10/24/2019 2:51 pm","10/29/2019 2:19 pm","","",""
"Sports Performance Training","4/28/2020","6:20 pm","4/28/2020","6:50 pm","","15 Silver - Jerry|15 Silver - Natalie|16 Gold|16 Platinum|17 Gold","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:56 pm","1/30/2020 8:34 pm","","",""
"Sports Performance Training","4/28/2020","6:50 pm","4/28/2020","7:20 pm","","13 Gold|14 Gold|15 Gold|15 Platinum","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:57 pm","1/30/2020 8:34 pm","","",""
"Team Practice","4/28/2020","7:30 pm","4/28/2020","9:30 pm","","13 Gold|14 Gold|15 Gold|15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:55 pm","11/25/2019 10:07 am","","",""
"Tutor Time","4/28/2020","7:30 pm","4/28/2020","8:00 pm","","12 Blue|12 Gold|13 Blue","","","Administrator","","1/30/2020 8:33 pm","","","","Serve &amp; Pass

Court 9

Lead Coach:"
"Team Practice","4/28/2020","8:00 pm","4/28/2020","9:30 pm","","14 Yellow","Weekly on Wednesday until May 6, 2020","5/6/2020","Administrator","Administrator","10/24/2019 2:55 pm","2/14/2020 2:47 pm","","",""
